Q-ID,Answer,Student Assigned Label,Predicted
1,Because of water and nutrients,correct,incorrect
0,None exits heat sink,incorrect,contradictory
0,Heat Sink is a heat sink,incorrect,incorrect
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels.",correct,correct
0,A heat sink absorbs heat,correct,correct
0,"A heat sink is a device that incorporates either a fan or some other means to keep a hot component, such as a processor, cooled down.",correct,correct
0,A heat sink is used to cool a PC,correct,incorrect
0,A heat sink is used to cool a Person,incorrect,incorrect
0,A heat sink is used to shave a PC,incorrect,incorrect
0,A heat sink is used to cool a Processor,correct,incorrect
0,A heat sink can cool components,correct,incorrect
0,A heat sink is used to cool components,correct,incorrect
0,A heat sink is a sink that is hot.,incorrect,correct
0,A heat sink is a mechanism in computer linguistics in which the answer is predicted very fast but wrong.,incorrect,incorrect
0,A heat sink is the abbreviation for 'heat synchronizer'. It is a part of a computer hardware that prevents it from overheating by synchronizing its temperature with the room temperature.,incorrect,incorrect
0,A heat sink is used to cool components by tranfering generated heat,correct,correct
0,None exits heat sink,incorrect,contradictory
0,Heat Sink is a heat sink,incorrect,incorrect
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels.",correct,correct
0,A heat sink absorbs heat,correct,correct
0,"A heat sink is a device that incorporates either a fan or some other means to keep a hot component, such as a processor, cooled down.",correct,correct
0,A heat sink is used to cool a PC,correct,incorrect
0,A heat sink is used to cool a Person,incorrect,incorrect
0,A heat sink is used to shave a PC,incorrect,incorrect
0,A heat sink is used to cool a Processor,correct,incorrect
0,A heat sink can cool components,correct,incorrect
0,A heat sink is used to cool components,correct,incorrect
0,A heat sink is a sink that is hot.,incorrect,correct
0,A heat sink is a mechanism in computer linguistics in which the answer is predicted very fast but wrong.,incorrect,incorrect
0,A heat sink is the abbreviation for 'heat synchronizer'. It is a part of a computer hardware that prevents it from overheating by synchronizing its temperature with the room temperature.,incorrect,incorrect
0,A heat sink is used to cool components by transferring generated heat,correct,correct
0,A heat sink is used to cool Persons by transferring generated heat,incorrect,correct
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels.",correct,correct
0,none exists a fridge,incorrect,incorrect
0,a fridge,incorrect,incorrect
0,                                                                                 ,incorrect,incorrect
0,a oven ,contradictory,incorrect
0,a device that gets hot and warms the room ,contradictory,incorrect
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels.",correct,correct
0,none exists a fridge,incorrect,incorrect
0,a fridge,incorrect,incorrect
0,                                                                                 ,incorrect,incorrect
0,a oven ,contradictory,incorrect
0,a device that gets hot and warms the room ,contradictory,incorrect
0,"Ein Kühlkörper ist ein Körper, der die wärmeabgebende Oberfläche eines wärmeproduzierenden Bauteils vergrößert. Damit kann einer möglichen Beschädigung durch Überhitzung vorgebeugt werden. ",correct,incorrect
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels.",correct,correct
0,none exits a fridge,incorrect,contradictory
0,a fridge,incorrect,incorrect
0,                                                                                 ,incorrect,incorrect
0,a oven ,contradictory,incorrect
0,a device that gets hot and warms the room ,contradictory,incorrect
0,"Ein Kühlkörper ist ein Körper, der die wärmeabgebende Oberfläche eines wärmeproduzierenden Bauteils vergrößert. Damit kann einer möglichen Beschädigung durch Überhitzung vorgebeugt werden. ",correct,incorrect
1,"A seed germinates when it is in a favorable condition, and thus begins to grow a root and a seed leaf. As these two parts continue to grow, the leaf will eventually poke through the soil.",correct,incorrect
1,none exits blue is my favorite color,incorrect,incorrect
2,none exists a definition ,incorrect,incorrect
2,non exists a dolphin,incorrect,incorrect
2,none exits purple rain,incorrect,incorrect
2,a controlled experiment is a experiment,incorrect,incorrect
2,a conrtolled expreiment is a xeperiment,incorrect,incorrect
1,Because the root supplies the plant with water and minerals which are relevant for the further growing.,correct,correct
1,"The stem grows first, as it supplies the plant with water and minerals.",contradictory,correct
1,none exits root grow first,incorrect,incorrect
1,True root water ,incorrect,incorrect
1,return true; \n root water,incorrect,incorrect
1,Because the root supplies the plant with water and minerals which are relevant for the further growing.,correct,correct
1,"The stem grows first, as it supplies the plant with water and minerals.",contradictory,correct
1,none exits root grow first,incorrect,incorrect
1,True root water ,incorrect,incorrect
1,return true; \n root water,incorrect,incorrect
1,"That's wrong, the stem grows first, as it supplies the plant with water and minerals.",contradictory,correct
1,none exits,incorrect,incorrect
1,return;,incorrect,incorrect
1,true True minerals,incorrect,incorrect
1,The plant needs water and minerals.,correct,correct
1,water,incorrect,incorrect
1,None exits growing water,incorrect,incorrect
1,"""True"" ",incorrect,incorrect
1,return false;,incorrect,incorrect
1,return true;,incorrect,incorrect
1,return True;,incorrect,incorrect
1,The plant needs water and minerals.,correct,correct
1,water,incorrect,incorrect
1,none exits growing water,incorrect,incorrect
1,"""True"" ",incorrect,incorrect
1,return false;,incorrect,incorrect
1,return true;,incorrect,incorrect
1,return True;,incorrect,incorrect
1,"score = ""Correct""",incorrect,incorrect
1,addAnswer();return true;,incorrect,incorrect
1,"score = ""correct""",incorrect,incorrect
1,addAnswer(true);,incorrect,incorrect
1,return 0;,incorrect,incorrect
0,none exits,incorrect,contradictory
0,none exits heat,incorrect,contradictory
0,It is a passive heat exchanger to hold the temperature stable.,correct,incorrect
0,temperature heat cold,incorrect,incorrect
0,It is a passive heat exchanger to regulate the temperature of a device,correct,incorrect
2,It is an experiment where everything is controlled.,incorrect,incorrect
2,It is defined by changing nothing except one variable in the experiment. Everything else stays constant. ,correct,correct
2,It is an experiment where something is controlled.,incorrect,incorrect
0,a device,correct,incorrect
0,a device,incorrect,incorrect
0,a device for cooling air,correct,incorrect
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels",correct,correct
0,"In computers, heat sinks are used to cool CPUs, GPUs, and some chipsets and RAM modules",correct,incorrect
0,cool heat exchanger passive electronic device,incorrect,incorrect
0,A heat sink transfers thermal energy from a higher temperature device to a lower temperature fluid medium,correct,correct
0,A heat device warms up cool electronic components,contradictory,incorrect
0,A heat sink is a active heat generator that transfers the heat generated by an electronic or a mechanical device to a soldi medium,incorrect,correct
0,A heat device warms up cool electronic components,contradictory,incorrect
0,A thing absorbing heat.,correct,incorrect
0,A thing absorbing hot water.,incorrect,incorrect
0,Most likely something like a dog.,incorrect,incorrect
0,Something like a cold sink.,contradictory,incorrect
1,Because the seed needs to drink water.,correct,correct
1,Because the seed needs to suck water.,correct,correct
1,Because the seed needs water for growing leaves needed for photosynthesis.,correct,correct
1,Because the seed is afraid of light.,incorrect,incorrect
1,A thing needing earth.,incorrect,incorrect
1,Because the seed needs liquid.,correct,incorrect
1,Because the seed needs earth.,incorrect,incorrect
1,Because the seed needs leaves for photosynthesis.,incorrect,incorrect
1,Because the seed needs to stay away from water.,contradictory,correct
1,The seed needs to dehydrate.,incorrect,incorrect
2,As an experiment where only one variable is changed at a time.,correct,correct
2,As an experiment where only one variable is constant at a time.,contradictory,correct
2,As an experiment which is fun.,incorrect,incorrect
2,A controlled experiment is an experiment where only one variable is changed at a time.,correct,correct
2,A controlled experiment is an experiment where only one variable is constant at a time.,incorrect,correct
26,as parameters,correct,incorrect
2,A controlled experiment is one in which everything is held constant except for one variable.,correct,correct
2,A controlled experiment is one in which everything is held constant except for one variable.,correct,correct
2,A controlled experiment is one in which nothing is held constant except for one variable.,incorrect,correct
2,A controlled experiment is one in which everything is held variable except for one constant.,contradictory,correct
14,One constructor can be created for a class,correct,incorrect
14,One constructor can be created for a class,correct,incorrect
14,As many as one needs,correct,incorrect
14,One constructor can be created for a class,correct,incorrect
14,As many as one needs,correct,incorrect
14,"And according to Tom Hawtin, the effective limit of Methods is 65527. Thus the number of constructors that can be defined for a class is 65527",correct,incorrect
42,A data type,correct,incorrect
63,"A tree is a perennial plant with an elongated stem, or trunk, supporting branches and leaves in most species.",contradictory,incorrect
63,A tree is a tea leaf you store in a lymph node with a root that has the value of one coin.,incorrect,incorrect
79,It works by Sorting on pairwised comparison.,contradictory,incorrect
79,It works by pairwised comparison of two lists and merging these two lists together into one list.,correct,incorrect
79,It works by merging two sorted lists into one unsortded list.,incorrect,correct
79,It works by comparing two merged lists and sorting another list.,incorrect,incorrect
18,Locally in the method or class.,incorrect,incorrect
18,Global.,correct,incorrect
18,Everywhere,contradictory,incorrect
18,Not global,incorrect,incorrect
18,Not local,contradictory,incorrect
18,Hello World,incorrect,incorrect
9,The while statements checks if the condition is true and then does something. The do...while statement does something and then checks the condition for the next run.,correct,incorrect
9,"The do...while statement guarantees, that the inner code is executed at least once.",correct,correct
9,"The while statement garantees, that the inner code is executed at least once.",incorrect,incorrect
9,They are both the same.,incorrect,incorrect
9,I don't know. ,incorrect,incorrect
9,The do while statement is like a while statement with a copy of the inner code before it.,correct,incorrect
2,"A controlled experiment is a scientific test done under controlled conditions, meaning that just one (or a few) factors are changed at a time, while all others are kept constant.",correct,correct
2,Scientific independent variable with experiment to minimize design in order to effects,incorrect,incorrect
0,passive heat generator made of copper without a fan.,incorrect,incorrect
0,A piece of hardware that cools attached hardware by passing heat into the air. Usually heat sinks have lot of surface area and are made from copper.,correct,correct
0,A piece of metal that exchanges heat from attached hardware into the air.,correct,correct
0,A fan of passive physical heat exchange,incorrect,incorrect
23,Every algorithm can be expressed in both ways.,correct,incorrect
23,"Recursion needs a recursion anchor to end, iteration needs a variable check to end.",incorrect,incorrect
23,Both are ways to express algorithms.,correct,incorrect
23,They do not have similarities,incorrect,incorrect
23,Both need to check variables to decide wether they have to stop or to continue.,correct,incorrect
23,Both iteration and recursion are based on a control structure: Iteration uses a repetition structure; recursion uses a selection structure. Both iteration and recursion involve repetition: Iteration explicitly uses a repetition structure; recursion achieves repetition through repeated method calls.,correct,incorrect
22,The missing of a recursion anchor condition.,correct,incorrect
22,Forwarding of unchanged input values into the next recursion.,correct,incorrect
63,A diagram or graph that branches usually from a simple stem or vertex without forming loops or polygons.,correct,incorrect
63,"In computer science, a tree is a widely used abstract data type that simulates a hierarchical tree structure, with a root value and subtrees of children with a parent node, represented as a set of linked nodes.",correct,incorrect
1,To water the garden,incorrect,incorrect
0,heat,incorrect,incorrect
0,heated,incorrect,incorrect
0,heat,incorrect,incorrect
0,heated,incorrect,incorrect
